series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series705,network26,Cable,28,M T W R F S U,6:00 AM,earlymorning,30,"1,396,404",412228.8469,57.91%
series572,network6,Cable,23,M T W R F S U,1:00 AM,latefringe,30,"1,388,345",480179.6522,67.83%
series394,network28,Cable,20,T W R F S,9:30 PM,prime,30,"1,379,317",425316.1256,59.65%
series308,network4,Broadcast,3,F,9:00 PM,prime,60,"1,377,450",802254.2733,54.55%
series901,network4,Broadcast,3,S U,3:00 PM,daytime,180,"1,374,144",923274,21.00%
series272,network1,Cable,20,M T W R F,3:00 PM,daytime,60,"1,372,606",664560,47.00%
series1217,network32,Cable,16,M T W R F U,11:30 PM,latefringe,30,"1,364,801",489994.4725,69.79%
series470,network21,Cable,20,M T W R F,5:00 PM,earlyfringe,30,"1,361,588",377447.9781,54.24%
series1213,network5,Broadcast,4,W,8:00 PM,prime,30,"1,361,000",402605.56,56.83%
series569,network18,Broadcast,4,M,8:00 PM,prime,60,"1,360,187",670178.3211,46.99%
series1322,network26,Cable,15,M T W R F,1:30 PM,daytime,30,"1,352,957",441382.5,64.00%
series474,network32,Cable,20,M T W R F,6:30 AM,earlymorning,30,"1,351,834",459010.0603,65.90%
series1107,network32,Cable,15,M T W R F,11:30 AM,daytime,30,"1,345,583",537667.5,77.00%
series394,network21,Cable,24,M T W R F S,4:00 PM,earlyfringe,30,"1,329,916",379888.9467,55.93%
series632,network13,Broadcast,24,M T W R F S,7:30 PM,primeaccess,30,"1,323,643",468070.8617,67.71%
series394,network28,Cable,18,T R F S U,10:00 PM,prime,30.83333333,"1,318,621",399233.2803,56.83%
series1138,network18,Broadcast,4,M,9:00 PM,prime,60,"1,318,099",573014.1344,41.41%
series555,network49,Cable,8,S U,7:00 AM,earlymorning,300,"1,310,615",717145.9058,10.58%
series19,network4,Broadcast,1,S,6:00 PM,earlyfringe,150,"1,302,383",1323797.784,35.50%
series681,network22,Cable,10,T R F S U,8:00 PM,prime,60,"1,288,242",643106.0864,47.86%
series1158,network13,Broadcast,20,M T W R F,4:00 PM,earlyfringe,60,"1,286,717",542186.4358,40.58%
series34,network4,Broadcast,3,S,10:00 PM,prime,60,"1,285,992",600498.0972,43.91%
series705,network26,Cable,20,M T W R F,12:00 PM,daytime,30,"1,284,529",393820,60.00%
series1353,network18,Broadcast,23,M T W R F S,7:30 PM,primeaccess,30,"1,280,565",181113.2742,55.73%
series86,network30,Cable,4,M,9:00 PM,prime,60,"1,274,643",653584.9197,48.44%
series18,network1,Cable,2,W R,8:00 PM,prime,164.5,"1,274,328",865665.8019,21.93%
series681,network22,Cable,10,T R F S U,9:00 PM,prime,60,"1,273,494",638497.3439,47.86%
series894,network30,Cable,5,M F,10:00 PM,prime,30,"1,265,852",416528.5678,62.69%
series639,network26,Cable,15,M T W R,7:00 PM,primeaccess,30,"1,261,989",402341.3275,61.54%
series1062,network11,Cable,24,T W R F S U,6:00 AM,earlymorning,60,"1,260,404",504425.4894,39.11%
series1322,network26,Cable,15,M T W R F,1:00 PM,daytime,30,"1,260,284",400725,62.00%
series83,network18,Broadcast,1,W,8:00 PM,prime,120,"1,259,646",1187088.814,41.22%
series245,network4,Broadcast,3,F,8:00 PM,prime,60,"1,255,435",612803.7797,46.34%
series762,network5,Broadcast,4,W,9:00 PM,prime,31,"1,252,844",415427.6742,61.25%
series741,network13,Broadcast,4,U,9:00 AM,daytime,60,"1,250,498",640128,48.00%
series681,network22,Cable,10,T R F S U,10:00 PM,prime,60,"1,249,533",645850.2142,49.24%
series894,network30,Cable,5,M F,10:30 PM,prime,30,"1,240,252",452086.2242,69.46%
series1011,network5,Broadcast,2,U,8:00 PM,prime,60,"1,236,977",642342.4725,48.83%
series1231,network32,Cable,12,M T W R F,2:30 PM,daytime,30,"1,230,545",394506,63.00%
series620,network17,Cable,20,M T W R F,7:00 PM,primeaccess,60,"1,229,936",484392.7864,38.65%
series314,network5,Broadcast,1,M,8:00 PM,prime,91,"1,221,582",964743.1214,46.81%
series674,network13,Broadcast,19,M T W R F,3:04 AM,overnight,56,"1,215,459",758361.23,65.48%
series91,network34,Cable,8,S U,4:00 PM,earlyfringe,120,"1,210,542",693790.3069,27.50%
series572,network6,Cable,24,M T W R F U,12:00 PM,daytime,30,"1,206,794",383760,62.00%
series250,network10,Cable,20,M T W R F,11:00 PM,latefringe,30,"1,206,114",287695.0497,46.64%
series498,network34,Cable,20,M T W R F,2:00 AM,overnight,60,"1,200,867",757350.5233,61.38%
series753,network12,Cable,20,M T W R F,6:00 AM,earlymorning,240,"1,197,738",761923.4403,14.98%
series18,network1,Cable,2,M U,7:00 PM,primeaccess,160,"1,192,401",927660.3369,25.77%
series416,network26,Cable,19,M T W R F,3:00 AM,overnight,30,"1,192,254",424180.3264,69.46%
series573,network6,Cable,24,M T W R F U,12:30 PM,daytime,30,"1,187,069",379584,62.00%
series1059,network32,Cable,8,M T W R F S U,11:30 AM,daytime,30,"1,182,740",426520,69.00%
series573,network6,Cable,12,R F S,11:30 PM,latefringe,30,"1,176,483",361527.6519,59.91%
series1393,network5,Broadcast,24,M T W R F S,7:00 PM,primeaccess,30,"1,172,239",402274.1303,65.77%
series270,network26,Cable,14,M T W R F,6:00 PM,earlyfringe,30,"1,171,831",373637.8017,61.50%
series925,network5,Broadcast,3,F,9:00 PM,prime,60.66666667,"1,167,518",486272.7533,39.21%
series474,network32,Cable,20,M T W R F,6:00 AM,earlymorning,30,"1,147,189",382264.8225,64.90%
series824,network1,Cable,3,T R,8:00 PM,prime,150,"1,146,816",778404.2275,24.30%
series416,network26,Cable,19,M T W R F,2:30 AM,overnight,30,"1,132,009",413645.0081,71.45%
series630,network5,Broadcast,2,T,8:00 PM,prime,60,"1,129,545",412235.39,34.69%
series196,network1,Cable,10,M T W R F,8:00 PM,prime,60,"1,124,928",556051.2781,47.21%
series1066,network66,Cable,19,M T W R F,6:00 AM,earlymorning,180,"1,124,356",562394.0511,15.62%
series401,network5,Broadcast,2,U,8:00 PM,prime,60,"1,123,737",556689.3,46.71%
series575,network4,Broadcast,3,M,8:00 PM,prime,30,"1,123,721",330085.5283,56.44%
series956,network26,Cable,16,M T W F,12:15 AM,latefringe,15,"1,122,481",241026.7147,83.94%
series824,network5,Broadcast,2,U,3:30 PM,daytime,161,"1,118,785",852698.9333,26.00%
series1150,network9,Cable,16,M T W R,11:00 PM,latefringe,30.8125,"1,114,560",328608.23,55.68%
series893,network17,Cable,20,M T W R F,6:00 PM,earlyfringe,30,"1,110,714",302464.1172,53.64%
series573,network6,Cable,22,M T W R F U,1:30 AM,latefringe,30,"1,110,513",409793.2153,72.47%
series109,network26,Cable,19,M T W R F,12:30 AM,latefringe,15,"1,108,524",241499.9964,85.36%
series1353,network37,Broadcast,28,M T W R F S U,7:30 PM,primeaccess,30,"1,104,474",167591.7947,61.72%
series1361,network4,Broadcast,2,U,9:00 PM,prime,60,"1,101,817",568218.0175,48.13%
series681,network22,Cable,9,T R S U,7:00 PM,primeaccess,60,"1,095,115",534593.1033,47.05%
series763,network30,Cable,11,T W R F S,7:00 PM,primeaccess,60,"1,093,733",399265.8256,35.92%
series17,network4,Broadcast,1,S,3:30 PM,daytime,221,"1,082,114",1325421.717,29.00%
series824,network1,Cable,3,T R,10:30 PM,prime,150,"1,080,757",791366.2753,25.99%
series532,network56,Cable,20,M T W R F,7:00 PM,primeaccess,60,"1,071,495",422215.1061,37.57%
series760,network11,Cable,4,M W,7:00 PM,primeaccess,180,"1,069,864",603552.0144,17.62%
series1353,network42,Cable,14,M T W F,7:00 PM,primeaccess,30,"1,068,846",300912.4644,55.03%
series889,network11,Cable,15,M T W R F,5:30 PM,earlyfringe,30,"1,063,054",315289.6661,57.81%
