series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed,AirDay_Num,APV_linear,index_linear,APV_logarithm,Index_Logarith,APV_Daypart,Index_Daypart,APV_network,Index_network,Engagement index
series416,network26,Cable,24,MTWRFU,0.958333333,latefringe,30,3491974,1129070.116,61.87,6,59.08,1.047224103,60.69784918,1.019311241,51.59,1.199263423,64.14,0.964608669,1.061061111
series1129,network4,Broadcast,20,MTWRF,0.5625,daytime,30,3466797,1258990,69,5,59.08,1.167907921,60.69784918,1.136778336,48.112,1.434153642,50.69,1.36121523,1.310715736
series873,network5,Broadcast,20,MTWRF,0.583333333,daytime,60,3437748,2017360,56,5,50.152,1.116605519,45.55951476,1.229161467,48.112,1.163950782,47.37,1.182182816,1.191765022
series1055,network34,Cable,20,MTWRF,0.75,earlyfringe,60,3396922,1686363.464,47.05,5,50.152,0.93814803,45.55951476,1.032715125,46.72,1.007063356,47.04,1.000212585,1.013330356
series1059,network32,Cable,16,MTWRFU,0.729166667,earlyfringe,30,3392171,1182893.762,66.51,6,59.08,1.125761679,60.69784918,1.095755466,46.72,1.423587329,64.58,1.029885413,1.183076069
series193,network5,Broadcast,5,TU,0.917361111,prime,59,3351520,1795463.143,50.18,2,50.4496,0.994656053,45.92658223,1.092613418,45,1.115111111,47.37,1.059320245,1.089014925
series1223,network34,Cable,20,MTWRF,0.958333333,latefringe,60,3294880,1463555.176,42.19,5,50.152,0.841242622,45.55951476,0.92604147,51.59,0.817794146,47.04,0.896896259,0.880243958
series482,network5,Broadcast,20,MTWRF,0.625,daytime,60,3290358,1840080,53,5,50.152,1.056787366,45.55951476,1.163313531,48.112,1.101596275,47.37,1.118851594,1.127920467
series681,network13,Broadcast,8,WS,0.916666667,prime,60,3287260,1527018.46,43.84,2,50.152,0.874142606,45.55951476,0.962257834,45,0.974222222,50.73,0.864182929,0.933554329
series93,network34,Cable,20,MTWRF,0.375,daytime,60,3237328,1678260,49,5,50.152,0.977029829,45.55951476,1.075516284,48.112,1.018456934,47.04,1.041666667,1.045213295
series837,network4,Broadcast,4,T,0.833333333,prime,60,3236800,2063225.984,58.95,1,50.152,1.175426703,45.55951476,1.293911937,45,1.31,50.69,1.162951272,1.25562107
series1201,network4,Broadcast,18,MTWRF,0.025694444,latefringe,60,3233425,2220264.367,66.55,5,50.152,1.326966023,45.55951476,1.460726708,51.59,1.289978678,50.69,1.312882225,1.354529204
series83,network18,Broadcast,3,W,0.833333333,prime,90,3149616,2550061.607,48.27,1,41.224,1.170919853,36.7041568,1.315109901,45,1.072666667,42.98,1.123080503,1.17028569
series1059,network32,Cable,16,MTWRFU,0.708333333,earlyfringe,30,3139604,1016339.596,62.11,6,59.08,1.051286391,60.69784918,1.023265253,46.72,1.329409247,64.58,0.961752865,1.104809121
series1222,network5,Broadcast,20,MTWRF,0.666666667,earlyfringe,60,3128225,1322425.367,42.22,5,50.152,0.841840804,45.55951476,0.926699949,46.72,0.903681507,47.37,0.891281402,0.907220952
series93,network34,Cable,20,MTWRF,0.416666667,daytime,60,3022746,1640780,51,5,50.152,1.016908598,45.55951476,1.119414907,48.112,1.060026605,47.04,1.084183673,1.087875062
series837,network22,Cable,18,MWRFSU,0.791666667,primeaccess,60,2967531,1437514.262,46.43,6,50.152,0.925785612,45.55951476,1.019106552,43.7,1.062471396,42.1,1.102850356,1.061476101
series498,network34,Cable,20,MTWRF,0.708333333,earlyfringe,60,2949436,1472024.857,47.58,5,50.152,0.948715904,45.55951476,1.044348261,46.72,1.018407534,47.04,1.011479592,1.024745129
series319,network13,Broadcast,4,F,0.875,prime,120,2859575,1915511.725,30.68,1,32.296,0.949962844,30.42118034,1.008507877,45,0.681777778,50.73,0.604770353,0.765018669
series1436,network34,Cable,20,MTWRF,0.666666667,earlyfringe,60,2799042,1378884.043,47.2,5,50.152,0.941138938,45.55951476,1.036007522,46.72,1.010273973,47.04,1.003401361,1.016560952
series772,network49,Cable,20,MTWRF,0.25,earlymorning,300,2786762,1679763.282,11.57,5,-21.272,-0.543907484,10.40939075,1.111496366,42.33,0.273328609,26.92,0.429791976,0.604872317
series527,network34,Cable,20,MTWRF,0.458333333,daytime,60,2779027,1498620,51,5,50.152,1.016908598,45.55951476,1.119414907,48.112,1.060026605,47.04,1.084183673,1.087875062
series416,network26,Cable,20,MTWRF,0.979166667,latefringe,30,2753927,973793.9431,67.78,5,59.08,1.147257955,60.69784918,1.116678777,51.59,1.313820508,64.14,1.056750857,1.162416714
series77,network34,Cable,20,MTWRF,0.541666667,daytime,60,2749482,1401980,49,5,50.152,0.977029829,45.55951476,1.075516284,48.112,1.018456934,47.04,1.041666667,1.045213295
series1059,network32,Cable,14,MTWRF,0.8125,primeaccess,30,2683895,898616.7217,63.84,5,59.08,1.08056872,60.69784918,1.051767087,43.7,1.460869565,64.58,0.988541344,1.167059332
